,language,url,query,documentation
0,python,https://github.com/inasafe/inasafe/blob/831d60abba919f6d481dc94a8d988cc205130724/safe/utilities/unicode.py#L25-L30,convert int to string,Convert to str
1,go,https://github.com/sajari/docconv/blob/eedabc494f8e97c31f94c70453273f16dbecbc6f/pdf_text.go#L23-L73,convert int to string,// Convert PDF
2,python,https://github.com/xlzd/xtls/blob/b3cc0ab24197ecaa39adcad7cd828cada9c04a4e/xtls/util.py#L33-L41,convert int to string,convert a object to string
3,python,https://github.com/kennethreitz/maya/blob/774b141d91a83a5d77cb5351db3d02bf50564b21/maya/core.py#L194-L200,convert int to string,Converts a datetime into an epoch.
4,python,https://github.com/apple/turicreate/blob/74514c3f99e25b46f22c6e02977fe3da69221c2e/src/external/coremltools_wrap/coremltools/deps/protobuf/python/google/protobuf/internal/well_known_types.py#L310-L313,convert int to string,Converts a Duration to microseconds.
5,python,https://github.com/fulfilio/python-magento/blob/720ec136a6e438a9ee4ee92848a9820b91732750/magento/utils.py#L29-L32,convert int to string,Converts CamelCase to camel_case
6,java,https://github.com/dnsjava/dnsjava/blob/d97b6a0685d59143372bb392ab591dd8dd840b61/org/xbill/DNS/TKEYRecord.java#L117-L150,convert int to string,Converts rdata to a String
7,javascript,https://github.com/espruino/EspruinoTools/blob/e31e564ebf302c53c8a73aa7f58f5f42a33fe26e/core/utils.js#L538-L544,convert int to string,Converts a DataView to an ArrayBuffer
8,java,https://github.com/carewebframework/carewebframework-core/blob/fa3252d4f7541dbe151b92c3d4f6f91433cd1673/org.carewebframework.shell/src/main/java/org/carewebframework/shell/layout/Layout.java#L257-L261,convert int to string,Converts from clipboard format.
9,python,https://github.com/thunder-project/thunder/blob/967ff8f3e7c2fabe1705743d95eb2746d4329786/thunder/images/images.py#L119-L129,convert int to string,Convert to local mode.
10,python,https://github.com/immstudios/nxtools/blob/8c30213c61aec460c648d5e9ae7ce79dfb7b4b9a/nxtools/timeutils.py#L47-L64,convert int to string,Converts seconds to time
11,java,https://github.com/EXIficient/exificient-grammars/blob/d96477062ebdd4245920e44cc1995259699fc7fb/src/main/java/com/siemens/ct/exi/grammars/regex/RegularExpression.java#L600-L758,convert int to string,Converts a token to an operation.
